soc_id,resource_id,timestamp,soc_pct,soc_mwh
SOC-000001,RES-002,2025-07-01 00:30:00,32.3,129.33
SOC-000002,RES-002,2025-07-01 01:30:00,16.6,66.51
SOC-000003,RES-002,2025-07-01 02:30:00,2.4,9.47
SOC-000004,RES-002,2025-07-01 03:30:00,0.0,0.0
SOC-000005,RES-002,2025-07-01 04:30:00,0.0,0.0
SOC-000006,RES-002,2025-07-01 05:30:00,0.0,0.0
SOC-000007,RES-002,2025-07-01 06:30:00,0.0,0.0
SOC-000008,RES-002,2025-07-01 07:30:00,0.0,0.0
SOC-000009,RES-002,2025-07-01 08:30:00,0.0,0.0
SOC-000010,RES-002,2025-07-01 09:30:00,0.0,0.0
SOC-000011,RES-002,2025-07-01 10:30:00,0.0,0.0
SOC-000012,RES-002,2025-07-01 11:30:00,0.0,0.0
SOC-000013,RES-002,2025-07-01 12:30:00,0.0,0.0
SOC-000014,RES-002,2025-07-01 13:30:00,0.0,0.0
SOC-000015,RES-002,2025-07-01 14:30:00,0.0,0.0
SOC-000016,RES-002,2025-07-01 15:30:00,0.0,0.0
SOC-000017,RES-002,2025-07-01 16:30:00,0.0,0.0
SOC-000018,RES-002,2025-07-01 17:30:00,0.0,0.0
SOC-000019,RES-002,2025-07-01 18:30:00,0.0,0.0
SOC-000020,RES-002,2025-07-01 19:30:00,0.0,0.0
SOC-000021,RES-002,2025-07-01 20:30:00,0.0,0.0
SOC-000022,RES-002,2025-07-01 21:30:00,0.0,0.0
SOC-000023,RES-002,2025-07-01 22:30:00,0.0,0.0
SOC-000024,RES-002,2025-07-01 23:30:00,0.0,0.0
SOC-000025,RES-002,2025-07-02 00:30:00,0.0,0.0
SOC-000026,RES-002,2025-07-02 01:30:00,0.0,0.0
SOC-000027,RES-002,2025-07-02 02:30:00,0.0,0.0
SOC-000028,RES-002,2025-07-02 03:30:00,0.0,0.0
SOC-000029,RES-002,2025-07-02 04:30:00,0.0,0.0
SOC-000030,RES-002,2025-07-02 05:30:00,0.0,0.0
SOC-000031,RES-002,2025-07-02 06:30:00,0.0,0.0
SOC-000032,RES-002,2025-07-02 07:30:00,45.0,180.0
SOC-000033,RES-002,2025-07-02 08:30:00,45.0,180.0
SOC-000034,RES-002,2025-07-02 09:30:00,45.0,180.0
SOC-000035,RES-002,2025-07-02 10:30:00,45.0,180.0
SOC-000036,RES-002,2025-07-02 11:30:00,45.0,180.0
SOC-000037,RES-002,2025-07-02 12:30:00,45.0,180.0
